dataset,method,seed,metric,quantile,value
D17 Human_Kidney_Cancer,MetaQ,0,hhi,0.95,0.018626734842951066
D17 Human_Kidney_Cancer,MetaQ,0,hhi,0.99,0.01972242512783054
D17 Human_Kidney_Cancer,MetaQ,0,normalized_hhi,0.01,0.0005321924240843216
D17 Human_Kidney_Cancer,MetaQ,0,normalized_hhi,0.05,0.0006987010512274983
D17 Human_Kidney_Cancer,MetaQ,0,normalized_hhi,0.5,0.001438093498904313
D17 Human_Kidney_Cancer,MetaQ,0,normalized_hhi,0.95,0.002550903944485032
D17 Human_Kidney_Cancer,MetaQ,0,normalized_hhi,0.99,0.0032810834760325326
D17 Human_Kidney_Cancer,MetaQ,1,max_purity,0.01,0.04
D17 Human_Kidney_Cancer,MetaQ,1,max_purity,0.05,0.045454545454545456
D17 Human_Kidney_Cancer,MetaQ,1,max_purity,0.5,0.058823529411764705
D17 Human_Kidney_Cancer,MetaQ,1,max_purity,0.95,0.1
D17 Human_Kidney_Cancer,MetaQ,1,max_purity,0.99,0.11764705882352941
D17 Human_Kidney_Cancer,MetaQ,1,max_fold_enrichment,0.01,8.725945945945947
D17 Human_Kidney_Cancer,MetaQ,1,max_fold_enrichment,0.05,9.915847665847666
D17 Human_Kidney_Cancer,MetaQ,1,max_fold_enrichment,0.5,12.832273449920509
D17 Human_Kidney_Cancer,MetaQ,1,max_fold_enrichment,0.95,21.814864864864866
D17 Human_Kidney_Cancer,MetaQ,1,max_fold_enrichment,0.99,25.664546899841017
D17 Human_Kidney_Cancer,MetaQ,1,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,MetaQ,1,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,MetaQ,1,top1_capture,0.5,0.02702702702702703
D17 Human_Kidney_Cancer,MetaQ,1,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,1,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,MetaQ,1,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,1,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,1,top3_capture,0.5,0.06756756756756757
D17 Human_Kidney_Cancer,MetaQ,1,top3_capture,0.95,0.0945945945945946
D17 Human_Kidney_Cancer,MetaQ,1,top3_capture,0.99,0.10810810810810811
D17 Human_Kidney_Cancer,MetaQ,1,hhi,0.01,0.014609203798392994
D17 Human_Kidney_Cancer,MetaQ,1,hhi,0.05,0.015339663988312642
D17 Human_Kidney_Cancer,MetaQ,1,hhi,0.5,0.01680058436815194
D17 Human_Kidney_Cancer,MetaQ,1,hhi,0.95,0.018626734842951066
D17 Human_Kidney_Cancer,MetaQ,1,hhi,0.99,0.01972242512783054
D17 Human_Kidney_Cancer,MetaQ,1,normalized_hhi,0.01,0.0005321924240843216
D17 Human_Kidney_Cancer,MetaQ,1,normalized_hhi,0.05,0.0008593649293172392
D17 Human_Kidney_Cancer,MetaQ,1,normalized_hhi,0.5,0.0015328596409677525
D17 Human_Kidney_Cancer,MetaQ,1,normalized_hhi,0.95,0.0026418310202094056
D17 Human_Kidney_Cancer,MetaQ,1,normalized_hhi,0.99,0.003281083476032529
D17 Human_Kidney_Cancer,MetaQ,2,max_purity,0.01,0.04
D17 Human_Kidney_Cancer,MetaQ,2,max_purity,0.05,0.045454545454545456
D17 Human_Kidney_Cancer,MetaQ,2,max_purity,0.5,0.0625
D17 Human_Kidney_Cancer,MetaQ,2,max_purity,0.95,0.09523809523809523
D17 Human_Kidney_Cancer,MetaQ,2,max_purity,0.99,0.13636363636363635
D17 Human_Kidney_Cancer,MetaQ,2,max_fold_enrichment,0.01,8.725945945945947
D17 Human_Kidney_Cancer,MetaQ,2,max_fold_enrichment,0.05,9.915847665847666
D17 Human_Kidney_Cancer,MetaQ,2,max_fold_enrichment,0.5,13.63429054054054
D17 Human_Kidney_Cancer,MetaQ,2,max_fold_enrichment,0.95,20.776061776061777
D17 Human_Kidney_Cancer,MetaQ,2,max_fold_enrichment,0.99,29.747542997542997
D17 Human_Kidney_Cancer,MetaQ,2,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,MetaQ,2,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,MetaQ,2,top1_capture,0.5,0.013513513513513514
D17 Human_Kidney_Cancer,MetaQ,2,top1_capture,0.95,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,2,top1_capture,0.99,0.05405405405405406
D17 Human_Kidney_Cancer,MetaQ,2,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,2,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,MetaQ,2,top3_capture,0.5,0.06756756756756757
D17 Human_Kidney_Cancer,MetaQ,2,top3_capture,0.95,0.0945945945945946
D17 Human_Kidney_Cancer,MetaQ,2,top3_capture,0.99,0.10810810810810811
D17 Human_Kidney_Cancer,MetaQ,2,hhi,0.01,0.014609203798392994
D17 Human_Kidney_Cancer,MetaQ,2,hhi,0.05,0.01497443389335282
D17 Human_Kidney_Cancer,MetaQ,2,hhi,0.5,0.01680058436815194
D17 Human_Kidney_Cancer,MetaQ,2,hhi,0.95,0.018626734842951066
D17 Human_Kidney_Cancer,MetaQ,2,hhi,0.99,0.01972242512783054
D17 Human_Kidney_Cancer,MetaQ,2,normalized_hhi,0.01,0.0005321924240843216
D17 Human_Kidney_Cancer,MetaQ,2,normalized_hhi,0.05,0.0006987010512274983
D17 Human_Kidney_Cancer,MetaQ,2,normalized_hhi,0.5,0.0015328596409677525
D17 Human_Kidney_Cancer,MetaQ,2,normalized_hhi,0.95,0.0026418310202094056
D17 Human_Kidney_Cancer,MetaQ,2,normalized_hhi,0.99,0.0032812004170209314
D17 Human_Kidney_Cancer,SEACells,0,max_purity,0.01,0.04878048780487805
D17 Human_Kidney_Cancer,SEACells,0,max_purity,0.05,0.058823529411764705
D17 Human_Kidney_Cancer,SEACells,0,max_purity,0.5,0.1
D17 Human_Kidney_Cancer,SEACells,0,max_purity,0.95,0.25
D17 Human_Kidney_Cancer,SEACells,0,max_purity,0.99,0.3333333333333333
D17 Human_Kidney_Cancer,SEACells,0,max_fold_enrichment,0.01,10.641397495056031
D17 Human_Kidney_Cancer,SEACells,0,max_fold_enrichment,0.05,12.832273449920509
D17 Human_Kidney_Cancer,SEACells,0,max_fold_enrichment,0.5,21.814864864864866
D17 Human_Kidney_Cancer,SEACells,0,max_fold_enrichment,0.95,54.53716216216216
D17 Human_Kidney_Cancer,SEACells,0,max_fold_enrichment,0.99,72.71621621621621
D17 Human_Kidney_Cancer,SEACells,0,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,0,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,0,top1_capture,0.5,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,0,top1_capture,0.95,0.02702702702702703
D17 Human_Kidney_Cancer,SEACells,0,top1_capture,0.99,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,0,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,0,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,0,top3_capture,0.5,0.05405405405405406
D17 Human_Kidney_Cancer,SEACells,0,top3_capture,0.95,0.08108108108108109
D17 Human_Kidney_Cancer,SEACells,0,top3_capture,0.99,0.0945945945945946
D17 Human_Kidney_Cancer,SEACells,0,hhi,0.01,0.014974433893352818
D17 Human_Kidney_Cancer,SEACells,0,hhi,0.05,0.015704894083272466
D17 Human_Kidney_Cancer,SEACells,0,hhi,0.5,0.017531044558071588
D17 Human_Kidney_Cancer,SEACells,0,hhi,0.95,0.01972242512783054
D17 Human_Kidney_Cancer,SEACells,0,hhi,0.99,0.021183345507669836
D17 Human_Kidney_Cancer,SEACells,0,normalized_hhi,0.01,0.0006987010512274966
D17 Human_Kidney_Cancer,SEACells,0,normalized_hhi,0.05,0.001013922353172055
D17 Human_Kidney_Cancer,SEACells,0,normalized_hhi,0.5,0.001809030314097886
D17 Human_Kidney_Cancer,SEACells,0,normalized_hhi,0.95,0.0032810834760325256
D17 Human_Kidney_Cancer,SEACells,0,normalized_hhi,0.99,0.004076228738390907
D17 Human_Kidney_Cancer,SEACells,1,max_purity,0.01,0.04837941628264209
D17 Human_Kidney_Cancer,SEACells,1,max_purity,0.05,0.058823529411764705
D17 Human_Kidney_Cancer,SEACells,1,max_purity,0.5,0.1111111111111111
D17 Human_Kidney_Cancer,SEACells,1,max_purity,0.95,0.2
D17 Human_Kidney_Cancer,SEACells,1,max_purity,0.99,0.3333333333333333
D17 Human_Kidney_Cancer,SEACells,1,max_fold_enrichment,0.01,10.553904284468802
D17 Human_Kidney_Cancer,SEACells,1,max_fold_enrichment,0.05,12.832273449920509
D17 Human_Kidney_Cancer,SEACells,1,max_fold_enrichment,0.5,24.23873873873874
D17 Human_Kidney_Cancer,SEACells,1,max_fold_enrichment,0.95,43.62972972972973
D17 Human_Kidney_Cancer,SEACells,1,max_fold_enrichment,0.99,72.71621621621621
D17 Human_Kidney_Cancer,SEACells,1,top1_capture,0.01,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,1,top1_capture,0.05,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,1,top1_capture,0.5,0.013513513513513514
D17 Human_Kidney_Cancer,SEACells,1,top1_capture,0.95,0.02702702702702703
D17 Human_Kidney_Cancer,SEACells,1,top1_capture,0.99,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,1,top3_capture,0.01,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,1,top3_capture,0.05,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,1,top3_capture,0.5,0.04054054054054054
D17 Human_Kidney_Cancer,SEACells,1,top3_capture,0.95,0.08108108108108109
D17 Human_Kidney_Cancer,SEACells,1,top3_capture,0.99,0.0945945945945946
D17 Human_Kidney_Cancer,SEACells,1,hhi,0.01,0.01497443389335282
D17 Human_Kidney_Cancer,SEACells,1,hhi,0.05,0.015704894083272466
