dataset,method,seed,metric,observed,null_mean,null_sd,null_q95,empirical_p,z_score,empirical_p_bh_within_run
D17 Human_Kidney_Cancer,MetaQ,1,max_fold_enrichment,149.25960170697013,14.129319231990207,3.7183182174962606,21.814864864864866,9.999000099990002e-05,36.34177457946842,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,1,top1_capture,0.17567567567567569,0.023440540540540542,0.010804278116401729,0.04054054054054054,9.999000099990002e-05,14.090264383700976,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,1,top3_capture,0.47297297297297297,0.06717567567567567,0.017515134813485267,0.0945945945945946,9.999000099990002e-05,23.16837989650331,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,1,hhi,0.10883856829802775,0.016768882395909426,0.0010931405429203285,0.018626734842951066,9.999000099990002e-05,84.22493017792009,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,1,normalized_hhi,0.07456312861718266,0.0015705899903665315,0.0005778374048604676,0.0026418310202094056,9.999000099990002e-05,126.32020359506129,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,2,max_purity,0.8888888888888888,0.06763482256567033,0.018408042997749837,0.09523809523809523,9.999000099990002e-05,44.613871579048734,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,2,max_fold_enrichment,193.9099099099099,14.754445144292113,4.0156897042253465,20.776061776061777,9.999000099990002e-05,44.613871579048734,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,2,top1_capture,0.21621621621621623,0.02256891891891892,0.010761113837626209,0.04054054054054054,9.999000099990002e-05,17.995097925663604,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,2,top3_capture,0.5540540540540541,0.06750405405405406,0.017659058407512432,0.0945945945945946,9.999000099990002e-05,27.55243166266522,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,2,hhi,0.13513513513513514,0.01677626004382762,0.0010944150325467826,0.018626734842951066,9.999000099990002e-05,108.14807140932439,9.999000099990002e-05
D17 Human_Kidney_Cancer,MetaQ,2,normalized_hhi,0.10187110187110188,0.0015719244367050462,0.0005777395796111982,0.0026418310202094056,9.999000099990002e-05,173.60620766521697,9.999000099990002e-05
D17 Human_Kidney_Cancer,SEACells,0,max_purity,0.38461538461538464,0.108593387357608,0.05060129045533509,0.25,0.0005999400059994001,5.454841067767168,0.0005999400059994001
D17 Human_Kidney_Cancer,SEACells,0,max_fold_enrichment,83.9033264033264,23.689500704241432,11.038603132709111,54.53716216216216,0.0005999400059994001,5.454841067767168,0.0005999400059994001
D17 Human_Kidney_Cancer,SEACells,0,top1_capture,0.06756756756756757,0.016359459459459463,0.006540750877602792,0.02702702702702703,0.00029997000299970003,7.829087067580849,0.0004499550044995501
D17 Human_Kidney_Cancer,SEACells,0,top3_capture,0.16216216216216217,0.050843243243243255,0.012862968600909002,0.08108108108108109,9.999000099990002e-05,8.65421679650623,0.00019998000199980003
D17 Human_Kidney_Cancer,SEACells,0,hhi,0.03433162892622353,0.01749802775748722,0.0012773267132210637,0.01972242512783054,9.999000099990002e-05,13.178774854153513,0.00019998000199980003
D17 Human_Kidney_Cancer,SEACells,0,normalized_hhi,0.011874224947763613,0.0019326905996462766,0.0007103488446610029,0.0032810834760325256,9.999000099990002e-05,13.995284743317487,0.00019998000199980003
D17 Human_Kidney_Cancer,SEACells,1,max_purity,0.6666666666666666,0.1161426036639916,0.04682974187146025,0.2,9.999000099990002e-05,11.755863709728976,9.999000099990002e-05
D17 Human_Kidney_Cancer,SEACells,1,max_fold_enrichment,145.43243243243242,25.336352039835358,10.215844905824094,43.62972972972973,9.999000099990002e-05,11.755863709728972,9.999000099990002e-05
D17 Human_Kidney_Cancer,SEACells,1,top1_capture,0.08108108108108109,0.015948648648648648,0.006048682384024827,0.02702702702702703,9.999000099990002e-05,10.768036457733949,9.999000099990002e-05
D17 Human_Kidney_Cancer,SEACells,1,top3_capture,0.17567567567567569,0.050540540540540545,0.012650031894528665,0.08108108108108109,9.999000099990002e-05,9.892080603311207,9.999000099990002e-05
D17 Human_Kidney_Cancer,SEACells,1,hhi,0.0325054784514244,0.01759017531044559,0.0012784260415387013,0.01972242512783054,9.999000099990002e-05,11.66692687441418,9.999000099990002e-05
D17 Human_Kidney_Cancer,SEACells,1,normalized_hhi,0.011005600194789389,0.001973948467077113,0.0007039183519785028,0.003281083476032529,9.999000099990002e-05,12.83053880088084,9.999000099990002e-05
