dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1707,permuted,193,5.56597841065377,910425600,9631,0.7056363288583095,0.866048331872048,1.3956611690628247,0.9967508434008259
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1708,permuted,193,4.748879061080515,910425600,9631,0.7117480311940756,0.86945720376614,1.3603053085741479,0.9968203015250274
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1709,permuted,193,4.688184503465891,910425600,9631,0.7044333568935957,0.8658642723017491,1.3974892603892375,0.9967363738567901
D11,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1710,permuted,193,5.565722472034395,910425600,9631,0.7145087254300291,0.8711021113250376,1.343098561059147,0.9968506207186404
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,-1,canonical,193,5.197192675434053,1470873088,9631,0.7506302817754412,0.8875504816472491,1.1718736290179113,0.9972514119935268
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1701,permuted,193,5.392614205367863,1470873088,9631,0.7142438816418867,0.8707789665860786,1.3464006422626777,0.9968459197341399
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1702,permuted,193,5.239791120402515,1470873088,9631,0.7166288361755709,0.8720731751349353,1.3329920888481954,0.9968736943581609
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1703,permuted,193,5.034785871393979,1470873088,9631,0.7114352514269027,0.8703003721036257,1.3514952871595742,0.9968168512611739
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1704,permuted,193,5.044966004788876,1470873088,9631,0.7087813931924611,0.8689856958536211,1.3652071078331574,0.9967875455825679
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1705,permuted,193,5.281598797999322,1470873088,9631,0.7195024802186244,0.8722892665663099,1.3306512649015279,0.9969042076291156
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1706,permuted,193,5.173363638110459,1470873088,9631,0.7168824538953873,0.8717690039692507,1.3360572673586937,0.9968750313354041
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1707,permuted,193,5.090861536562443,1470873088,9631,0.7119361192320401,0.8690953990858048,1.363895975368358,0.9968197839854493
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1708,permuted,193,5.924718771129847,1470873088,9631,0.718538452730739,0.8727135509342279,1.3263178703669425,0.9968942881205367
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1709,permuted,193,4.8818013574928045,1470873088,9631,0.7166034763483393,0.872233836158236,1.331273561687766,0.9968737590506082
D11,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1710,permuted,193,4.817792048677802,1470873088,9631,0.7177456412459575,0.8727061403517389,1.3265039097119455,0.9968883148512403
