metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells,source_file
45,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
46,153,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
47,20,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
48,23,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
49,11,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
50,63,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
51,153,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
52,2,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
53,11,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
54,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
55,25,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
56,11,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
57,6,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
58,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
59,2,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
60,11,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
62,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
63,45,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
64,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
65,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
66,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
67,51,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
68,14,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
69,56,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
70,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
71,57,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
72,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
73,6,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
75,2,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
76,15,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
77,37,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
78,80,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
79,3,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
80,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
82,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
83,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
84,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
85,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
87,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
88,30,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
89,6,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
90,60,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
91,9,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
92,21,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
93,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
95,25,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
96,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
97,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
98,9,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
99,9,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
0,35,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
1,249,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
2,11,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
3,63,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
4,225,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
5,24,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
6,48,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
7,29,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
8,8,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
9,166,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
10,132,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
11,61,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
12,20,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
13,11,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
14,173,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
15,100,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
16,603,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
17,26,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
18,7,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
19,9,D5,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D5/K001_seed0/metacell_size_long.csv
0,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
2,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
3,27,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
5,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
6,11,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
7,173,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
8,18,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
9,74,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
10,3,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
12,30,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
13,3,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
14,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
15,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
16,33,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
17,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
18,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
19,19,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
20,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
22,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
25,12,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
26,7,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
28,20,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
29,22,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
30,3,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
31,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
32,81,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
35,2,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
36,4,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
37,19,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
39,1,D5,GARQ,0,instrumented_legacy,0.05,100,76,2000,revision_results/01_size_resolution/smoke/D5/K005_seed0/metacell_size_long.csv
