dataset,method,seed,subset_seed,target_cell_type,source_abundance,target_abundance,realized_abundance,support,requested_K,realized_K,cell_precision,cell_recall,cell_f1,purity_unweighted,purity_weighted,majority_retention,high_purity_recovery,run_id
D5,GARQ,0,23590,NK-monocyte doublets,0.0132641291810842,0.005,0.005,10,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_NK-monocyte-doublets_abundance_0.005_broad_seed0_v1-09836f0b67a8
D5,GARQ,0,154863,NK-monocyte doublets,0.0132641291810842,0.01,0.01,20,40,40,0.5,0.2,0.2857142857142857,0.5,0.5,0.0,0.0,E1_D5_rare_NK-monocyte-doublets_abundance_0.01_broad_seed0_v1-0e7e6d62884a
D5,GARQ,0,444193,Neutrophils,0.028719723183391003,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Neutrophils_abundance_0.002_broad_seed0_v1-0f85f87b5e9d
D5,GARQ,0,646802,Neutrophils,0.028719723183391003,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Neutrophils_abundance_0.005_broad_seed0_v1-659312b48cfc
D5,GARQ,0,416480,Neutrophils,0.028719723183391003,0.01,0.01,20,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Neutrophils_abundance_0.01_broad_seed0_v1-8adb57723401
D5,GARQ,0,651117,Non classical monocytes,0.04728950403690888,0.002,0.002,4,40,37,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Non-classical-monocytes_abundance_0.002_broad_seed0_v1-1490ca447262
D5,GARQ,0,949901,Non classical monocytes,0.04728950403690888,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Non-classical-monocytes_abundance_0.005_broad_seed0_v1-7f03fee5afa3
D5,GARQ,0,207075,Non classical monocytes,0.04728950403690888,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Non-classical-monocytes_abundance_0.01_broad_seed0_v1-2d89e5ba4bb1
D5,GARQ,0,835164,Platelet-bound monocytes,0.01591695501730104,0.002,0.002,4,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Platelet-bound-monocytes_abundance_0.002_broad_seed0_v1-6cc8b9eeeb0e
D5,GARQ,0,731048,Platelet-bound monocytes,0.01591695501730104,0.005,0.005,10,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Platelet-bound-monocytes_abundance_0.005_broad_seed0_v1-f7fccd1a82ab
D5,GARQ,0,470452,Platelet-bound monocytes,0.01591695501730104,0.01,0.01,20,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Platelet-bound-monocytes_abundance_0.01_broad_seed0_v1-e3534f36c3f1
D5,GARQ,0,9102,Regulatory T cells,0.008189158016147636,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Regulatory-T-cells_abundance_0.002_broad_seed0_v1-781174fc4807
D5,GARQ,0,9101,Regulatory T cells,0.008189158016147636,0.005,0.005,10,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_Regulatory-T-cells_abundance_0.005_broad_seed0_v1-0f2ae8ca81a2
D5,GARQ,0,585409,T-NK-B cell doublets,0.022029988465974624,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_T-NK-B-cell-doublets_abundance_0.002_broad_seed0_v1-258eba63d79e
D5,GARQ,0,421091,T-NK-B cell doublets,0.022029988465974624,0.005,0.005,10,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_T-NK-B-cell-doublets_abundance_0.005_broad_seed0_v1-9985f478464e
D5,GARQ,0,922141,T-NK-B cell doublets,0.022029988465974624,0.01,0.01,20,40,39,1.0,0.4,0.5714285714285715,1.0,1.0,0.2,0.2,E1_D5_rare_T-NK-B-cell-doublets_abundance_0.01_broad_seed0_v1-1d29ebef3b80
D5,GARQ,0,9104,conventional DC,0.007727797001153403,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_conventional-DC_abundance_0.002_broad_seed0_v1-367dda7d5aba
D5,GARQ,0,9103,conventional DC,0.007727797001153403,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_conventional-DC_abundance_0.005_broad_seed0_v1-bafeb00eeb80
D5,GARQ,0,524923,gdT cells,0.0461361014994233,0.002,0.002,4,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_gdT-cells_abundance_0.002_broad_seed0_v1-2aed18a3d4fe
D5,GARQ,0,59885,gdT cells,0.0461361014994233,0.005,0.005,10,40,37,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_gdT-cells_abundance_0.005_broad_seed0_v1-7a4dbe605c78
D5,GARQ,0,928770,gdT cells,0.0461361014994233,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_gdT-cells_abundance_0.01_broad_seed0_v1-0ddb20108b6c
D5,GARQ,0,634001,plasmacytoid DC,0.0059976931949250285,0.002,0.002,4,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D5_rare_plasmacytoid-DC_abundance_0.002_broad_seed0_v1-a2c05902f8f4
D5,GARQ,0,935205,plasmacytoid DC,0.0059976931949250285,0.005,0.005,10,40,37,0.6666666666666666,0.6,0.631578947368421,0.6666666666666666,0.6666666666666666,0.25,0.0,E1_D5_rare_plasmacytoid-DC_abundance_0.005_broad_seed0_v1-55ff5762c7cf
