step,usage_sum,usage_min,usage_median,usage_max,scheduled_long_update_anchor_count,effective_displacement_anchor_count,all_anchors_displaced,displacement_min,displacement_max,local_branch_condition
34,0.9721870422363281,0.08101557940244675,0.1620311588048935,0.2430468052625656,6,0,False,0.0,0.0,False
35,0.9749683141708374,0.08124735206365585,0.1624947041273117,0.24374212324619293,6,0,False,0.0,0.0,False
36,0.9774714112281799,0.08145594596862793,0.16291189193725586,0.24436791241168976,6,0,False,0.0,0.0,False
37,0.9797244071960449,0.08164368569850922,0.16328737139701843,0.24493111670017242,6,0,False,0.0,0.0,False
38,0.9817518591880798,0.08181264996528625,0.1636252999305725,0.24543800950050354,6,0,False,0.0,0.0,False
39,0.983576774597168,0.08196471631526947,0.16392943263053894,0.24589420855045319,6,0,False,0.0,0.0,False
40,0.9852190017700195,0.08210157603025436,0.16420315206050873,0.24630479514598846,6,0,False,0.0,0.0,False
41,0.9866970777511597,0.08222474902868271,0.16444949805736542,0.2466743141412735,6,0,False,0.0,0.0,False
42,0.9880272150039673,0.08233560621738434,0.16467121243476868,0.2470068782567978,6,0,False,0.0,0.0,False
43,0.9892245531082153,0.08243537694215775,0.1648707538843155,0.2473061978816986,6,0,False,0.0,0.0,False
44,0.9903020858764648,0.08252517133951187,0.16505034267902374,0.247575581073761,6,0,False,0.0,0.0,False
45,0.9912719130516052,0.0826059877872467,0.1652119755744934,0.2478180229663849,6,0,False,0.0,0.0,False
46,0.9921448230743408,0.08267872035503387,0.16535744071006775,0.2480362206697464,6,0,False,0.0,0.0,False
47,0.9929302334785461,0.08274418115615845,0.1654883623123169,0.24823260307312012,6,0,False,0.0,0.0,False
48,0.993637204170227,0.08280309289693832,0.16560618579387665,0.24840934574604034,6,0,False,0.0,0.0,False
49,0.9942734837532043,0.08285611122846603,0.16571222245693207,0.24856841564178467,6,0,False,0.0,0.0,False
50,0.9948461055755615,0.08290383219718933,0.16580766439437866,0.24871157109737396,6,0,False,0.0,0.0,False
51,0.9953614473342896,0.08294677734375,0.1658935546875,0.24884042143821716,6,0,False,0.0,0.0,False
52,0.9958252906799316,0.08298543095588684,0.16597086191177368,0.24895638227462769,6,0,False,0.0,0.0,False
53,0.9962426424026489,0.08302021771669388,0.16604043543338776,0.2490607500076294,6,0,False,0.0,0.0,False
54,0.9966184496879578,0.08305152505636215,0.1661030501127243,0.24915467202663422,6,0,False,0.0,0.0,False
55,0.996956467628479,0.08307970315217972,0.16615940630435944,0.24923920631408691,6,0,False,0.0,0.0,False
56,0.9972608685493469,0.08310506492853165,0.1662101298570633,0.2493152916431427,6,0,False,0.0,0.0,False
57,0.9975347518920898,0.08312788605690002,0.16625577211380005,0.24938376247882843,6,0,False,0.0,0.0,False
