condition,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD14,0.133597209703335,Common,3409,0.9668301124891836,0.9832795541214432,0.9749854566608492,74,0.9670060717005164,0.9668301124891836,49.0,58.1,61.0,0.5224405984159578,0.9832795541214432,74,0.9367088607594936,73,0.9240506329113924
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,Mono.CD16,0.0062311400242975,Rare,159,0.6232876712328768,0.5723270440251572,0.5967213114754097,3,0.6162909417626399,0.6232876712328768,47.5,57.95,60.0,0.0,0.5723270440251572,3,0.1363636363636363,1,0.0454545454545454
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,NK,0.0550221421013442,Intermediate,1404,0.9094514210178454,0.98005698005698,0.9434350359958862,33,0.9088598348381184,0.9094514210178454,48.0,57.8,65.0,0.0,0.98005698005698,33,0.6226415094339622,33,0.6226415094339622
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.9777777777777776,0.6984126984126984,0.8148148148148148,1,0.9777777777777776,0.9777777777777776,50.0,60.3,62.0,0.0,0.6984126984126984,1,0.0555555555555555,1,0.0555555555555555
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,T.CD4.Memory,0.2269467413880942,Common,5791,0.874390243902439,0.6190640649283371,0.7249014255383682,82,0.8746688839027875,0.874390243902439,52.0,63.0,79.0,0.0179589017440856,0.6190640649283371,79,0.2548387096774193,72,0.232258064516129
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,T.CD4.Naive,0.2074303405572755,Common,5293,0.7085705942473354,0.9168713395050068,0.7993740734640092,130,0.7098183106103442,0.7085705942473354,53.0,63.0,79.0,0.0001889287738522,0.9168713395050068,127,0.5906976744186047,79,0.3674418604651163
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,T.CD8.Effector,0.113375396794294,Common,2893,0.8102511880515954,0.8250950570342205,0.8176057544100016,60,0.8187418515812723,0.8102511880515954,51.0,63.0,79.0,0.0010369858278603,0.8250950570342205,57,0.2435897435897435,51,0.2179487179487179
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,T.CD8.Naive,0.0586667711721597,Intermediate,1497,0.7819905213270142,0.7715430861723447,0.7767316745124412,28,0.7862900003629834,0.7819905213270142,54.0,63.0,79.0,0.0006680026720106,0.7715430861723447,28,0.16,23,0.1314285714285714
RNA_cell_permutation,D18,GARQ,1,diagnostic_variant_modality_noise,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,49.0,59.5,61.0,0.0,0.0,0,0.0,0,0.0
RNA_cell_permutation,D18,GARQ,2,diagnostic_variant_modality_noise,0.0199866755496335,B.Activated,0.0331151781165497,Intermediate,845,0.7843511450381679,0.4863905325443787,0.6004382761139518,10,0.7838292539829561,0.7843511450381679,52.0,90.5,165.0,0.0,0.4863905325443787,9,0.0989010989010989,7,0.0769230769230769
