condition,weighted_modality,weight_lambda,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 naive,0.0385,Intermediate,77,0.0,0.0,0.0,0,,,97.0,192.8,194.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Classical monocytes,0.1035,Common,207,0.4797136038186158,0.9710144927536232,0.6421725239616614,1,0.4797136038186158,0.4797136038186158,231.0,400.2,419.0,0.0,0.9710144927536232,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Erythroid ,0.005,Rare,10,0.8333333333333334,1.0,0.9090909090909092,1,0.8333333333333334,0.8333333333333334,12.0,12.0,12.0,0.0,1.0,1,1.0,1,1.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.7903225806451613,0.5444444444444444,0.644736842105263,3,0.7879166666666667,0.7903225806451613,19.5,193.45,194.0,0.0,0.5444444444444444,3,0.25,3,0.25
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Memory B,0.0215,Intermediate,43,0.4761904761904761,0.4651162790697674,0.4705882352941176,1,0.4761904761904761,0.4761904761904761,91.5,136.04999999999998,141.0,0.0,0.4651162790697674,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-T doublets,0.015,Intermediate,30,0.3076923076923077,0.2666666666666666,0.2857142857142857,1,0.3076923076923077,0.3076923076923077,88.0,280.2,302.0,0.0,0.2666666666666666,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.5681818181818182,0.8928571428571429,0.6944444444444445,2,0.7790697674418605,0.5681818181818182,37.0,362.5999999999999,419.0,0.0357142857142857,0.8928571428571429,2,0.5,1,0.25
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Naive B,0.057,Intermediate,114,0.7801418439716312,0.9649122807017544,0.8627450980392157,1,0.7801418439716312,0.7801418439716312,91.5,136.04999999999998,141.0,0.0,0.9649122807017544,1,0.5,1,0.5
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,231.0,400.2,419.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Non classical monocytes,0.051,Intermediate,102,0.0,0.0,0.0,0,,,37.0,362.5999999999999,419.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,28.5,40.65,42.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,193.0,291.1,302.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,419.0,419.0,419.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,419.0,419.0,419.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,140.5,285.65,302.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,142.5,193.1,194.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.6923076923076923,0.3396226415094339,0.4556962025316456,2,0.6727272727272727,0.6923076923076923,31.0,335.5999999999998,419.0,0.0,0.3396226415094339,2,0.2857142857142857,1,0.1428571428571428
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,419.0,419.0,419.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,gdT cells,0.04,Intermediate,80,0.3260869565217391,0.375,0.3488372093023256,2,0.409090909090909,0.3260869565217391,21.0,140.5,193.0,0.0,0.375,0,0.0,0,0.0
ADT_lambda_0.25,ADT,0.25,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,230.5,400.15,419.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,97.5,333.8999999999999,375.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 memory,0.0865,Intermediate,173,0.4041994750656168,0.8901734104046243,0.555956678700361,2,0.3693333333333333,0.4041994750656168,63.5,333.8999999999999,375.0,0.0,0.8901734104046243,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive I,0.0735,Intermediate,147,0.5445544554455446,0.3741496598639456,0.4435483870967743,1,0.5445544554455446,0.5445544554455446,238.0,361.3,375.0,0.0,0.3741496598639456,1,0.5,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,238.0,361.3,375.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.3333333333333333,0.027027027027027,0.05,1,0.3333333333333333,0.3333333333333333,45.0,170.04999999999993,202.0,0.0,0.027027027027027,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56dim CD16bright NK,0.206,Common,412,0.82,0.9951456310679612,0.8991228070175438,9,0.7475492783179277,0.82,29.0,170.04999999999993,202.0,0.0048543689320388,0.9951456310679612,7,0.7,5,0.5
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 effector,0.06,Intermediate,120,0.5241935483870968,0.5416666666666666,0.5327868852459015,7,0.5777658431793771,0.5241935483870968,23.0,145.19999999999996,202.0,0.025,0.5416666666666666,4,0.2352941176470588,1,0.0588235294117647
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 memory,0.038,Intermediate,76,0.2872340425531915,0.3552631578947368,0.3176470588235294,1,0.2872340425531915,0.2872340425531915,43.0,224.2999999999998,375.0,0.0,0.3552631578947368,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 naive,0.0385,Intermediate,77,0.0,0.0,0.0,0,,,101.0,347.6,375.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Classical monocytes,0.1035,Common,207,0.6047197640117994,0.9903381642512076,0.7509157509157509,1,0.6047197640117994,0.6047197640117994,53.0,310.4,339.0,0.0,0.9903381642512076,1,0.3333333333333333,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Erythroid ,0.005,Rare,10,1.0,1.0,1.0,2,1.0,1.0,5.0,7.699999999999999,8.0,1.0,1.0,2,1.0,2,1.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.5726495726495726,0.7444444444444445,0.6473429951690821,3,0.5814807528362516,0.5726495726495726,47.0,276.9999999999999,375.0,0.0,0.7444444444444445,3,0.375,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Memory B,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,82.5,153.15,161.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,45.0,162.94999999999996,202.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.4285714285714285,0.6428571428571429,0.5142857142857143,1,0.4285714285714285,0.4285714285714285,42.0,281.79999999999995,339.0,0.0,0.6428571428571429,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Naive B,0.057,Intermediate,114,0.6909090909090909,1.0,0.8172043010752689,2,0.5978260869565217,0.6909090909090909,82.5,153.15,161.0,0.0,1.0,1,0.5,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,42.0,309.29999999999995,339.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Non classical monocytes,0.051,Intermediate,102,0.7411764705882353,0.6176470588235294,0.6737967914438503,3,0.6319856244384546,0.7411764705882353,35.0,267.5,339.0,0.0,0.6176470588235294,2,0.3333333333333333,1,0.1666666666666666
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,15.0,16.8,17.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,69.0,124.8,131.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,42.0,309.29999999999995,339.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,190.5,324.15,339.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,95.0,191.3,202.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,238.0,361.3,375.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.8717948717948718,0.6415094339622641,0.7391304347826088,4,0.9009372979961214,0.8717948717948718,15.0,276.69999999999993,339.0,0.0377358490566037,0.6415094339622641,4,0.5,4,0.5
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,33.5,294.4499999999999,339.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,gdT cells,0.04,Intermediate,80,0.0,0.0,0.0,0,,,41.5,114.79999999999995,131.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_0.5,ADT,0.5,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,182.0,323.3,339.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,52.0,374.8,379.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 memory,0.0865,Intermediate,173,0.3379629629629629,0.8439306358381503,0.4826446280991736,4,0.4478365032248607,0.3379629629629629,28.0,368.5,379.0,0.0,0.8439306358381503,2,0.1818181818181818,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive I,0.0735,Intermediate,147,0.4024390243902439,0.2244897959183673,0.2882096069868995,4,0.4423076923076923,0.4024390243902439,26.0,366.4,379.0,0.0,0.2244897959183673,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,29.0,264.54999999999984,379.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.3333333333333333,0.027027027027027,0.05,1,0.3333333333333333,0.3333333333333333,23.0,213.8999999999998,358.0,0.0,0.027027027027027,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56dim CD16bright NK,0.206,Common,412,0.541782729805014,0.9441747572815534,0.6884955752212388,14,0.6834449072800286,0.541782729805014,11.5,96.95,358.0,0.0097087378640776,0.9441747572815534,8,0.3636363636363636,7,0.3181818181818182
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 effector,0.06,Intermediate,120,0.5,0.025,0.0476190476190476,2,0.5,0.5,19.5,365.35,379.0,0.0,0.025,1,0.0714285714285714,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 memory,0.038,Intermediate,76,0.0,0.0,0.0,0,,,67.0,373.75,379.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 naive,0.0385,Intermediate,77,0.2686567164179104,0.2337662337662337,0.25,3,0.5043859649122807,0.2686567164179104,30.0,369.55,379.0,0.0129870129870129,0.2337662337662337,1,0.1,1,0.1
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Classical monocytes,0.1035,Common,207,0.5012106537530266,1.0,0.667741935483871,1,0.5012106537530266,0.5012106537530266,413.0,413.0,413.0,0.0,1.0,1,1.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Erythroid ,0.005,Rare,10,0.5,0.1,0.1666666666666666,1,0.5,0.5,49.5,92.25,97.0,0.0,0.1,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,MAIT-NKT cells,0.045,Intermediate,90,0.6666666666666666,0.0444444444444444,0.0833333333333333,1,0.6666666666666666,0.6666666666666666,28.0,372.7,379.0,0.0,0.0444444444444444,1,0.1428571428571428,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Memory B,0.0215,Intermediate,43,0.3684210526315789,0.1627906976744186,0.2258064516129032,1,0.3684210526315789,0.3684210526315789,26.0,94.4,97.0,0.0,0.1627906976744186,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-T doublets,0.015,Intermediate,30,0.0,0.0,0.0,0,,,16.0,371.65,379.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,NK-monocyte doublets,0.014,Intermediate,28,0.0,0.0,0.0,0,,,20.5,355.9999999999999,413.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Naive B,0.057,Intermediate,114,0.6022099447513812,0.956140350877193,0.7389830508474575,2,0.5993495336278841,0.6022099447513812,28.0,94.4,97.0,0.0,0.956140350877193,2,0.4,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Neutrophils,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,223.0,394.0,413.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Non classical monocytes,0.051,Intermediate,102,0.4181818181818181,0.2254901960784313,0.2929936305732484,4,0.5284090909090909,0.4181818181818181,33.0,396.0,413.0,0.0392156862745098,0.2254901960784313,1,0.0909090909090909,1,0.0909090909090909
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Plasma cells,0.002,Rare,4,0.0,0.0,0.0,0,,,27.0,75.59999999999998,84.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-T cell doublets,0.002,Rare,4,0.0,0.0,0.0,0,,,51.5,318.69999999999993,358.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelet-bound monocytes,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,413.0,413.0,413.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,210.0,392.7,413.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Proliferating T and NK cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,17.0,308.1999999999999,358.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,Regulatory T cells,0.0075,Rare,15,0.0,0.0,0.0,0,,,38.0,313.5999999999999,379.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,T-NK-B cell doublets,0.0265,Intermediate,53,0.625,0.1886792452830188,0.2898550724637681,2,0.6333333333333333,0.625,19.0,396.0,413.0,0.0,0.1886792452830188,2,0.1818181818181818,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,conventional DC,0.0075,Rare,15,0.0,0.0,0.0,0,,,210.5,392.75,413.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,gdT cells,0.04,Intermediate,80,0.0,0.0,0.0,0,,,28.5,369.55,379.0,0.0,0.0,0,0.0,0,0.0
ADT_lambda_2,ADT,2.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,plasmacytoid DC,0.0055,Rare,11,0.0,0.0,0.0,0,,,84.0,349.79999999999995,413.0,0.0,0.0,0,0.0,0,0.0
RNA_lambda_0,RNA,0.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,84.0,433.25,520.0,0.0,0.0,0,0.0,0,0.0
RNA_lambda_0,RNA,0.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 memory,0.0865,Intermediate,173,0.5231788079470199,0.4566473988439306,0.4876543209876544,2,0.5813648293963254,0.5231788079470199,41.0,405.0,520.0,0.0,0.4566473988439306,1,0.0909090909090909,0,0.0
RNA_lambda_0,RNA,0.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive I,0.0735,Intermediate,147,0.3461538461538461,0.4285714285714285,0.3829787234042554,2,0.3400770712909441,0.3461538461538461,33.5,363.8499999999996,520.0,0.0,0.4285714285714285,0,0.0,0,0.0
RNA_lambda_0,RNA,0.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD4 naive II,0.018,Intermediate,36,1.0,0.0277777777777777,0.054054054054054,1,1.0,1.0,24.0,381.1999999999999,520.0,0.0277777777777777,0.0277777777777777,1,0.1111111111111111,1,0.1111111111111111
RNA_lambda_0,RNA,0.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.0,0.0,0.0,0,,,24.0,372.79999999999984,520.0,0.0,0.0,0,0.0,0,0.0
RNA_lambda_0,RNA,0.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD56dim CD16bright NK,0.206,Common,412,0.4052356020942408,0.9393203883495146,0.5662033650329189,13,0.5450493718802757,0.4052356020942408,24.5,301.50000000000017,520.0,0.0,0.9393203883495146,8,0.4,4,0.2
RNA_lambda_0,RNA,0.0,D5,GARQ,0,diagnostic_variant_modality_weight,0.02,CD8 effector,0.06,Intermediate,120,0.5,0.025,0.0476190476190476,2,0.5,0.5,25.0,225.5999999999997,520.0,0.0,0.025,0,0.0,0,0.0
