variant,run,dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,34.5,73.0,77.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,CD4+ T activated,0.076,Intermediate,152,0.4523809523809524,0.125,0.1958762886597938,5,0.5691558441558442,0.4523809523809524,15.0,188.0,485.0,0.006578947368421,0.125,2,0.0952380952380952,1,0.0476190476190476
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,23.5,209.75,485.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,CD8+ T,0.4025,Common,805,0.739456419868791,0.9801242236024844,0.842948717948718,16,0.6835331396459448,0.739456419868791,15.0,173.9999999999998,485.0,0.0012422360248447,0.9801242236024844,14,0.56,7,0.28
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,Erythroblast,0.0225,Intermediate,45,0.5714285714285714,0.0888888888888888,0.1538461538461538,1,0.5714285714285714,0.5714285714285714,7.0,222.1,246.0,0.0,0.0888888888888888,1,0.3333333333333333,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,31.0,70.0,77.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,HSC,0.0075,Rare,15,0.0,0.0,0.0,0,,,31.0,205.2,246.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,Lymph prog,0.034,Intermediate,68,0.3142857142857143,0.1617647058823529,0.2135922330097087,2,0.3951612903225806,0.3142857142857143,30.0,175.19999999999982,246.0,0.0,0.1617647058823529,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,MK/E prog,0.0165,Intermediate,33,0.0,0.0,0.0,0,,,42.0,212.2,246.0,0.0,0.0,0,0.0,0,0.0
legacy_continuous,D11_legacy_continuous_smoke_seed1,D11,GARQ,1,instrumented_legacy,0.02,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,27.0,336.5,485.0,0.0,0.0,0,0.0,0,0.0
