dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,Proerythroblast,0.0805,Intermediate,161,0.5531914893617021,0.6459627329192547,0.5959885386819485,4,0.50361186432615,0.5531914893617021,25.0,154.44999999999993,190.0,0.0,0.6459627329192547,2,0.2,1,0.1
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,Transitional B,0.0595,Intermediate,119,0.3428571428571428,0.1008403361344537,0.1558441558441558,2,0.3666666666666667,0.3428571428571428,20.0,214.29999999999995,244.0,0.0,0.1008403361344537,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,cDC2,0.021,Intermediate,42,0.6,0.0714285714285714,0.1276595744680851,1,0.6,0.6,48.5,230.5,244.0,0.0,0.0714285714285714,1,0.1666666666666666,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,1,permuted,40,0.6951685519888997,419600384,2000,0.7651195322740529,0.785420854260726,1.1781959711147838,0.9609899949974988,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,190.0,190.0,190.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,B1 B,0.0355,Intermediate,71,0.3636363636363636,0.1126760563380281,0.1720430107526881,5,0.3533333333333333,0.3636363636363636,22.0,238.95,250.0,0.0,0.1126760563380281,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,CD14+ Mono,0.054,Intermediate,108,0.4037735849056604,0.9907407407407408,0.5737265415549598,3,0.6809286898839138,0.4037735849056604,36.5,175.79999999999995,195.0,0.0277777777777777,0.9907407407407408,2,0.5,2,0.5
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,CD16+ Mono,0.0105,Intermediate,21,0.0,0.0,0.0,0,,,67.0,182.2,195.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,CD4+ T activated,0.076,Intermediate,152,0.6666666666666666,0.0131578947368421,0.0258064516129032,1,0.6666666666666666,0.6666666666666666,73.0,298.9999999999998,398.0,0.0,0.0131578947368421,1,0.0769230769230769,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,85.0,331.99999999999994,398.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,CD8+ T,0.4025,Common,805,0.7233273056057866,0.9937888198757764,0.837257980115123,15,0.7142641784162329,0.7233273056057866,41.5,241.2500000000001,398.0,0.008695652173913,0.9937888198757764,13,0.65,8,0.4
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,Erythroblast,0.0225,Intermediate,45,0.5,0.0222222222222222,0.0425531914893617,1,0.5,0.5,9.0,109.5,114.0,0.0,0.0222222222222222,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,67.0,182.2,195.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,HSC,0.0075,Rare,15,0.5,0.0666666666666666,0.1176470588235294,1,0.5,0.5,99.0,239.0,250.0,0.0,0.0666666666666666,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,Lymph prog,0.034,Intermediate,68,0.6666666666666666,0.0294117647058823,0.056338028169014,1,0.6666666666666666,0.6666666666666666,34.0,309.1999999999998,398.0,0.0,0.0294117647058823,1,0.0769230769230769,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,MK/E prog,0.0165,Intermediate,33,0.0,0.0,0.0,0,,,99.0,178.79999999999998,195.0,0.0,0.0,0,0.0,0,0.0
D11,0,instrumented_legacy,legacy_eval_loader_assignment,256,2,permuted,40,0.6988506373018026,419600384,2000,0.7785839292643604,0.790826082884865,1.1416496523961737,0.9627298649324664,NK,0.0445,Intermediate,89,0.0,0.0,0.0,0,,,34.0,298.9999999999998,398.0,0.0,0.0,0,0.0,0,0.0
