dataset,seed,implementation_tag,reference,inference_batch_size,cell_order_seed,cell_order,realized_K,wall_time_seconds,peak_gpu_allocated_bytes,n_cells,ARI,NMI,VI_nats,coassignment_agreement_rand
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,-1,canonical,34,0.2865531286224723,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,0,permuted,34,0.3672807961702347,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,1,permuted,34,0.27427704306319356,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,2,permuted,34,0.27512142388150096,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,3,permuted,34,0.2742029740475118,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,4,permuted,34,0.3546247137710452,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,5,permuted,34,0.28005624981597066,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,6,permuted,34,0.2790852580219507,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,7,permuted,34,0.27562926709651947,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,8,permuted,34,0.2786521529778838,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,2048,9,permuted,34,0.36833595018833876,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,-1,canonical,34,0.26908872509375215,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,0,permuted,34,0.2747311512939632,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,1,permuted,34,0.27952714264392853,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,2,permuted,34,0.36211488069966435,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,3,permuted,34,0.27839455381035805,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,4,permuted,34,0.2786107021383941,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,5,permuted,34,0.35108570707961917,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,6,permuted,34,0.2754305750131607,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,7,permuted,34,0.27366530802100897,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,8,permuted,34,0.2786706411279738,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
D5,0,instrumented_legacy,legacy_eval_loader_assignment,4096,9,permuted,34,0.28012120304629207,210237952,2000,0.912063797283785,0.8815631206754436,0.6224448376758911,0.9811300650325162
