training_step,epoch,phase,batch_cells,assignment_nonempty_anchor_count,usage_sum,usage_min,usage_median,usage_max,usage_entropy_nats,usage_perplexity,usage_gini,manual_reposition_enabled,reposition_interval,reposition_due,local_branch_condition,local_branch_executed,beta_s_min,beta_s_median,beta_s_max,beta_l_min,beta_l_median,beta_l_max,manual_displacement_min,manual_displacement_median,manual_displacement_max,manual_displacement_anchor_count,anchor_nan_count,anchor_inf_count
13,2,quantized_training,256,18,0.7458133101463318,0.0005340651259757578,0.0053977565839886665,0.1575087010860443,2.7276487350463867,15.29687786102295,0.7046692371368408,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
14,2,quantized_training,256,19,0.771232008934021,0.00048065860755741596,0.0050779422745108604,0.16675783693790436,2.694873332977295,14.803643226623535,0.7144251465797424,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
15,3,quantized_training,256,19,0.7941087484359741,0.0004325927293393761,0.004570147953927517,0.17312893271446228,2.661810874938965,14.3222017288208,0.7240183353424072,True,5,True,False,False,0.0,1.5235404049462886e-09,0.17704153060913086,,,,0.0,4.861646640819117e-09,1.5787675380706787,21,0,0
16,3,quantized_training,256,18,0.8146978616714478,0.00038933343603275716,0.004113133065402508,0.17925353348255157,2.6366896629333496,13.96689224243164,0.7313367128372192,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
17,3,quantized_training,256,23,0.8332281112670898,0.0003504000778775662,0.0040924446657299995,0.18867193162441254,2.6197900772094727,13.732841491699219,0.7347255945205688,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
18,3,quantized_training,256,21,0.849905252456665,0.00031536005553789437,0.004855074919760227,0.18972660601139069,2.6160125732421875,13.681061744689941,0.7363789677619934,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
19,3,quantized_training,256,26,0.8649147152900696,0.0005189276416786015,0.005219654645770788,0.19536331295967102,2.596139430999756,13.411861419677734,0.7398144602775574,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
20,3,quantized_training,256,18,0.8784232139587402,0.00046703487168997526,0.005088313948363066,0.19965510070323944,2.5749433040618896,13.130573272705078,0.745245099067688,True,5,True,False,False,0.0,1.9296449160766116e-10,0.15425631403923035,,,,0.0,0.0,1.4448738098144531,20,0,0
21,3,quantized_training,256,19,0.8905808925628662,0.00042033137287944555,0.004579482600092888,0.2062520831823349,2.549243927001953,12.797425270080566,0.7503381967544556,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
22,4,quantized_training,256,23,0.9015227556228638,0.0003782982239499688,0.004121534060686827,0.2075018584728241,2.543300151824951,12.721585273742676,0.7511476874351501,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
23,4,quantized_training,256,24,0.9113705158233643,0.00034046839573420584,0.003709380514919758,0.20823603868484497,2.5352916717529297,12.620111465454102,0.7526319026947021,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
24,4,quantized_training,256,21,0.9202333688735962,0.00030642154160887003,0.003729067509993911,0.21475617587566376,2.510437488555908,12.310314178466797,0.7583774328231812,True,5,False,False,False,,,,,,,0.0,0.0,0.0,0,0,0
25,4,quantized_training,256,24,0.9282100796699524,0.00027577936998568475,0.00354204629547894,0.21515554189682007,2.5096333026885986,12.300418853759766,0.7571179270744324,True,5,True,False,False,0.0,1.9947657747820813e-08,0.331503301858902,,,,0.0,1.7771674265532056e-07,2.926771402359009,24,0,0
