dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery,representation
D18,KMeans,0,diagnostic_fixed_representation,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.9411764705882352,0.7619047619047619,0.8421052631578947,2,0.925,0.9411764705882352,51.0,65.6,68.0,0.492063492063492,0.7619047619047619,2,0.1176470588235294,2,0.1176470588235294,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,0,diagnostic_fixed_representation,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,40.0,53.5,55.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,1,diagnostic_fixed_representation,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,54.0,55.8,56.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,1,diagnostic_fixed_representation,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.9791666666666666,0.746031746031746,0.846846846846847,1,0.9791666666666666,0.9791666666666666,47.5,72.25,73.0,0.0,0.746031746031746,1,0.0625,1,0.0625,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,1,diagnostic_fixed_representation,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,47.0,67.6,74.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,2,diagnostic_fixed_representation,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.5094339622641509,0.9642857142857144,0.6666666666666666,1,0.5094339622641509,0.5094339622641509,59.0,64.4,65.0,0.0,0.9642857142857144,1,0.5,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,2,diagnostic_fixed_representation,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.9787234042553192,0.7301587301587301,0.8363636363636363,1,0.9787234042553192,0.9787234042553192,49.0,100.0,100.0,0.0,0.7301587301587301,1,0.0588235294117647,1,0.0588235294117647,fixed_equal_weight_PCA_LSI_CLR
D18,KMeans,2,diagnostic_fixed_representation,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,41.5,59.0,59.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D18,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,830.0,1962.85,2026.0,0.0,0.0,0,0.0,0,0.0,
D18,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.8245614035087719,0.746031746031746,0.7833333333333334,2,0.6681818181818182,0.8245614035087719,50.0,1689.1999999999998,2026.0,0.0,0.746031746031746,1,0.0588235294117647,1,0.0588235294117647,
D18,MetaQ,0,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,43.0,56.25,57.0,0.0,0.0,0,0.0,0,0.0,
D18,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.0,0.0,0.0,0,,,3431.0,3431.0,3431.0,0.0,0.0,0,0.0,0,0.0,
D18,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,1.0,0.7142857142857143,0.8333333333333333,1,1.0,1.0,50.0,899.75,3431.0,0.7142857142857143,0.7142857142857143,1,0.0625,1,0.0625,
D18,MetaQ,1,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,49.0,53.4,54.0,0.0,0.0,0,0.0,0,0.0,
D18,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.5,0.0357142857142857,0.0666666666666666,1,0.5,0.5,41.0,2872.3999999999987,3368.0,0.0,0.0357142857142857,0,0.0,0,0.0,
D18,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.71875,0.7301587301587301,0.7244094488188977,1,0.71875,0.71875,53.0,1079.6999999999966,3368.0,0.0,0.7301587301587301,1,0.0666666666666666,1,0.0666666666666666,
D18,MetaQ,2,official_metaq_sc_1.0.6_import_compatibility_shim,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,44.0,52.2,54.0,0.0,0.0,0,0.0,0,0.0,
D18,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.5,0.5,0.5,1,0.5,0.5,33.0,33.0,33.0,0.0,0.5,0,0.0,0,0.0,
D18,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.8333333333333334,0.7142857142857143,0.7692307692307692,4,0.8390688259109312,0.8333333333333334,43.0,144.39999999999998,148.0,0.3492063492063492,0.7142857142857143,3,0.1578947368421052,3,0.1578947368421052,
D18,SEACells,0,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,42.0,142.0,145.0,0.0,0.0,0,0.0,0,0.0,
D18,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.5652173913043478,0.9285714285714286,0.7027027027027025,2,0.5681818181818181,0.5652173913043478,24.0,31.2,32.0,0.0,0.9285714285714286,1,0.3333333333333333,0,0.0,
D18,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.7313432835820896,0.7777777777777778,0.7538461538461538,6,0.746969696969697,0.7313432835820896,50.0,112.25,117.0,0.1587301587301587,0.7777777777777778,6,0.3,3,0.15,
D18,SEACells,1,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,45.0,106.8,116.0,0.0,0.0,0,0.0,0,0.0,
D18,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,DC.Myeloid,0.0010973076772347,Rare,28,0.76,0.6785714285714286,0.7169811320754718,2,0.7596153846153846,0.76,12.5,25.0,29.0,0.0,0.6785714285714286,2,0.3333333333333333,2,0.3333333333333333,
D18,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,Platelets,0.0024689422737782,Rare,63,0.8703703703703703,0.746031746031746,0.8034188034188035,8,0.8875,0.8703703703703703,26.0,98.7,107.0,0.3809523809523809,0.746031746031746,8,0.3478260869565217,7,0.3043478260869565,
D18,SEACells,2,official_SEACells_fixed_equal_weight_representation,0.0199866755496335,T.DoubleNegative,0.0005094642787161,Rare,13,0.0,0.0,0.0,0,,,44.5,101.25,105.0,0.0,0.0,0,0.0,0,0.0,
D5,GARQ,0,instrumented_legacy,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.0,0.0,0.0,0,,,72.0,83.75,86.0,0.0,0.0,0,0.0,0,0.0,
D5,GARQ,0,instrumented_legacy,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.8959537572254336,0.842391304347826,0.8683473389355741,4,0.8893464170468455,0.8959537572254336,42.5,54.8,57.0,0.0,0.842391304347826,4,0.3333333333333333,3,0.25,
D5,GARQ,1,instrumented_legacy,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.0,0.0,0.0,0,,,56.0,58.0,58.0,0.0,0.0,0,0.0,0,0.0,
D5,GARQ,1,instrumented_legacy,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.9230769230769232,0.782608695652174,0.8470588235294118,3,0.9174468085106384,0.9230769230769232,48.0,59.6,62.0,0.3206521739130434,0.782608695652174,3,0.1764705882352941,3,0.1764705882352941,
D5,GARQ,2,instrumented_legacy,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.0,0.0,0.0,0,,,59.0,63.55,64.0,0.0,0.0,0,0.0,0,0.0,
D5,GARQ,2,instrumented_legacy,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.8666666666666667,0.8478260869565217,0.8571428571428571,4,0.8541744987468671,0.8666666666666667,48.0,53.39999999999999,57.0,0.0,0.8478260869565217,4,0.2105263157894736,3,0.1578947368421052,
D5,KMeans,0,diagnostic_fixed_representation,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.5454545454545454,0.9,0.679245283018868,1,0.5454545454545454,0.5454545454545454,34.0,66.39999999999999,70.0,0.0,0.9,1,0.3333333333333333,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D5,KMeans,0,diagnostic_fixed_representation,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.9493670886075948,0.8152173913043478,0.8771929824561402,2,0.9490384615384616,0.9493670886075948,54.0,78.6,80.0,0.0,0.8152173913043478,2,0.1333333333333333,2,0.1333333333333333,fixed_equal_weight_PCA_LSI_CLR
D5,KMeans,1,diagnostic_fixed_representation,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.5925925925925926,0.8,0.6808510638297872,1,0.5925925925925926,0.5925925925925926,33.5,39.35,40.0,0.0,0.8,1,0.5,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D5,KMeans,1,diagnostic_fixed_representation,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.888268156424581,0.8641304347826086,0.8760330578512395,3,0.8814690026954178,0.888268156424581,45.5,63.5,70.0,0.0,0.8641304347826086,3,0.2142857142857142,2,0.1428571428571428,fixed_equal_weight_PCA_LSI_CLR
D5,KMeans,2,diagnostic_fixed_representation,0.0199950425514335,Treg,0.0016524828554903,Rare,20,0.0,0.0,0.0,0,,,55.5,68.55,70.0,0.0,0.0,0,0.0,0,0.0,fixed_equal_weight_PCA_LSI_CLR
D5,KMeans,2,diagnostic_fixed_representation,0.0199950425514335,cDC2,0.0152028422705114,Intermediate,184,0.8325358851674641,0.9456521739130436,0.8854961832061068,4,0.7922850741569163,0.8325358851674641,39.0,74.5,92.0,0.0,0.9456521739130436,3,0.2727272727272727,3,0.2727272727272727,fixed_equal_weight_PCA_LSI_CLR
